Westmont,100,Cal Lutheran,76
Arizona Chr,94,E New Mexico,87
Walsh,91,Mt Union,80
Card Stritch,71,Maranatha Bap,42
WV Tech,82,Glenville St,80
T Jefferson,79,Concordia CA,60
Ferris St,84,Thomas Aquinas,79
Findlay,80,Indiana PA,61
Humboldt St,90,Palm Beach Atl,81
KY Wesleyan,76,Montevallo,74
Point Loma,62,St Leo,53
Augustana SD,77,S Indiana,73
Upper Iowa,92,CS San Bern.,88
Ferris St,86,Indiana PA,82
Findlay,69,Thomas Aquinas,65
S Indiana,88,KY Wesleyan,75
Upper Iowa,79,Palm Beach Atl,76
OK City,84,SW Oklahoma,82
Augustana SD,88,Montevallo,69
St Leo,66,Humboldt St,65
T Jefferson,67,Point Loma,64
Medaille,75,Houghton,72
Davis & Elkins,84,WV Tech,59
Mt Vernon Naz,83,Trevecca Naz,73
Palm Beach Atl,79,T Jefferson,71
Concordia CA,83,St Leo,69
Upper Iowa,60,Humboldt St,55
Alabama,82,Memphis,70
Bethune-Cookman,108,Johnson FL,66
Boston College,85,Maine,65
Northeastern,65,Boston Univ,59
Butler,82,Kennesaw,64
UCF,88,Mercer,79
C Michigan,108,Siena Hts,48
Col Charleston,68,Siena,60
Cincinnati,107,Savannah St,77
Clemson,85,W Carolina,57
Coastal Car,102,Piedmont Bap,50
Connecticut,70,Colgate,58
Citadel,109,Oglethorpe,73
Davidson,110,Charleston So,62
Dayton,78,Ball St,77
Bowling Green,78,Drexel,69
Duke,97,Elon,68
Miami OH,55,Fordham,54
Furman,101,Bob Jones,48
G Washington,84,Howard,75
George Mason,67,Lafayette,65
Georgia,79,Bryant,54
Georgia St,90,Carver Bib,50
Hartford,85,Central Conn,84
Harvard,73,MIT,64
Hofstra,77,Army,74
Indiana St,90,Indiana,69
Kentucky,73,Utah Valley,63
Liberty,87,Summit,42
Marshall,102,TN Martin,91
Massachusetts,74,MA Lowell,69
MD E Shore,95,Valley Forge,69
Miami FL,77,Gardner Webb,45
Michigan St,98,North Florida,66
Monmouth NJ,79,Bucknell,78
Navy,71,Pittsburgh,62
Charlotte,116,Methodist,76
New Hampshire,95,Wheelock,39
NC A&T,104,Greensboro,80
NC State,102,VMI,67
North Carolina,86,Northern Iowa,69
Oakland,85,IPFW,71
Ohio St,95,Robert Morris,64
Old Dominion,57,Towson,54
Penn St,86,Campbell,75
Providence,84,Houston Bap,55
Purdue,105,SIUE,74
Rhode Island,84,UNC Asheville,60
Delaware,76,Richmond,63
Rider,90,Hampton,75
Rutgers,94,City Col NY,38
Seton Hall,90,F Dickinson,68
South Florida,60,FL Atlantic,59
Niagara,77,St Bonaventure,75
St John's,77,New Orleans,61
Syracuse,77,Cornell,45
Maryland,76,Stony Brook,61
Tennessee,88,Presbyterian,53
VA Commonwealth,94,Grambling,65
Villanova,75,Columbia,60
Virginia,60,UNC Greensboro,48
Virginia Tech,111,Detroit,79
Ga Southern,85,Wake Forest,83
S Illinois,81,Winthrop,66
South Carolina,73,Wofford,52
Xavier,101,Morehead St,49
High Point,100,William & Mary,66
Holy Cross,69,Sacred Heart,64
Albany NY,69,Iona,67
Binghamton,76,Morgan St,59
N Kentucky,81,ETSU,63
Arkansas,95,Samford,56
Auburn,102,Norfolk St,74
UAB,96,Jacksonville,67
Abilene Chr,86,Randall,68
Baylor,107,Cent Arkansas,66
Creighton,92,Yale,76
Evansville,77,Arkansas St,63
Houston,81,McNeese St,53
Illinois,102,Southern Univ,55
IL Chicago,65,NC Central,55
Iowa,95,Chicago St,62
Jackson St,84,Millsaps,46
Jacksonville St,100,TN Wesleyan,42
Kansas,92,Tennessee St,56
Kansas St,83,American Univ,45
Louisiana Tech,112,UT Tyler,71
Loyola-Chicago,84,Wright St,80
LSU,99,Alcorn St,59
Marquette,80,Mt St Mary's,59
MTSU,104,Trevecca Naz,52
Minnesota,92,SC Upstate,77
Mississippi,94,ULL,76
Mississippi St,96,Alabama St,68
Missouri,74,Iowa St,59
Murray St,118,Brescia,61
Northwestern,79,Loyola MD,75
Oklahoma St,78,Pepperdine,47
Oral Roberts,86,Avila,72
E Kentucky,73,Rice,72
SE Louisiana,99,Centenary,67
SMU,78,UMBC,67
St Louis,62,Seattle,46
TCU,83,ULM,73
Texas,105,Northwestern LA,59
Texas Tech,75,South Alabama,50
Tulane,102,Long Island,96
Lamar,74,Tulsa,67
Nicholls St,111,UTRGV,106
Valparaiso,88,North Park,46
Vanderbilt,73,Austin Peay,54
Missouri St,85,WKU,80
Wichita St,109,Missouri KC,57
Wisconsin,85,S Carolina St,50
Lipscomb,98,Emory,83
S Dakota St,65,UC Irvine,54
Arizona,101,Northern Arizona,67
Arizona St,94,Idaho St,74
Boise St,104,Eastern Oregon,65
Colorado,66,N Colorado,51
Colorado St,72,CS Sacramento,61
Grand Canyon,67,Florida A&M,51
Montana,72,Whitworth,60
Montana St,89,NE Omaha,80
